Product_Name,Category,Price,Units_Sold
"Boult Audio Omega with 30dB ANC+ ENC, 32H Playtime, 45m",Earbuds,22.33,1570
"Boult Audio Omega with 30dB ANC+ ENC, 32H Playtime, 45m",Earbuds,23.02,1646
"Boult Audio Omega with 30dB ANC+ ENC, 32H Playtime, 45m",Earbuds,24.05,1548
"Boult Audio Omega with 30dB ANC+ ENC, 32H Playtime, 45m",Earbuds,24.08,1431
"Infinity (JBL Glide 510, 72 Hrs Playtime with Quick Cha",Earbuds,20.46,1709
"JBL Tune 215BT, 16 Hrs Playtime with Quick Charge, in E",Earbuds,20.53,1335
"JBL Tune 215BT, 16 Hrs Playtime with Quick Charge, in E",Earbuds,20.71,1400
"Noise Buds VS402 Truly Wireless in Ear Earbuds, 35-Hour",Earbuds,21.67,1531
"Noise Buds VS402 Truly Wireless in Ear Earbuds, 35-Hour",Earbuds,22.11,1606
"Noise Buds VS402 Truly Wireless in Ear Earbuds, 35-Hour",Earbuds,24.03,1633
"Noise Buds VS402 Truly Wireless in Ear Earbuds, 35-Hour",Earbuds,24.94,1395
"Redgear Cosmo 7,1 Usb Gaming Wired Over Ear Headphones ",Earbuds,20.37,1898
"Redgear Cosmo 7,1 Usb Gaming Wired Over Ear Headphones ",Earbuds,23.98,1626
"Redgear Cosmo 7,1 Usb Gaming Wired Over Ear Headphones ",Earbuds,25.71,1556
"Redgear Cosmo 7,1 Usb Gaming Wired Over Ear Headphones ",Earbuds,26.76,1653
"Redgear Cosmo 7,1 Usb Gaming Wired Over Ear Headphones ",Earbuds,28.18,1473
Samsung Galaxy Buds Live Bluetooth Truly Wireless in Ea,Earbuds,54.4,2200
Samsung Galaxy Buds Live Bluetooth Truly Wireless in Ea,Earbuds,55.05,2200
Samsung Galaxy Buds Live Bluetooth Truly Wireless in Ea,Earbuds,57.71,1927
Samsung Galaxy Buds Live Bluetooth Truly Wireless in Ea,Earbuds,62.92,2024
Samsung Galaxy Buds Live Bluetooth Truly Wireless in Ea,Earbuds,65.16,1849
boAt Rockerz 550 Over Ear Bluetooth Headphones with Upt,Earbuds,21.67,1771
boAt Rockerz 550 Over Ear Bluetooth Headphones with Upt,Earbuds,22.24,1941
boAt Rockerz 550 Over Ear Bluetooth Headphones with Upt,Earbuds,25.18,1780
Nokia 150 (2020) (Cyan),Smartphone,25.88,1437
Nokia 150 (2020) (Cyan),Smartphone,27.69,1344
Nokia 150 (2020) (Cyan),Smartphone,31.31,1130
Nokia 150 (2020) (Cyan),Smartphone,34.06,1184
"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment ",Smartphone,74.05,1565
